state,year,temperature_nasa,rainfall_nasa,humidity_nasa
andhra pradesh,1981,27.727500000000003,972.99,68.59916666666668
andhra pradesh,1982,27.97083333333333,816.74,67.57333333333334
andhra pradesh,1983,28.19333333333333,820.74,67.2925
andhra pradesh,1984,28.4725,537.16,63.56333333333333
andhra pradesh,1985,28.000833333333333,669.94,65.21833333333333
andhra pradesh,1986,28.394166666666667,549.7,64.37666666666667
andhra pradesh,1987,28.185000000000002,942.88,66.24916666666667
andhra pradesh,1988,28.246666666666666,729.52,66.8525
andhra pradesh,1989,28.10166666666667,773.1400000000001,64.75083333333333
andhra pradesh,1990,28.0725,877.89,68.06083333333333
andhra pradesh,1991,27.9225,1038.93,69.27
andhra pradesh,1992,27.723333333333333,829.3399999999999,67.62083333333332
andhra pradesh,1993,28.09166666666667,715.8199999999999,66.38083333333334
andhra pradesh,1994,27.99666666666667,1160.23,67.88666666666667
andhra pradesh,1995,27.334999999999997,943.52,71.72250000000001
andhra pradesh,1996,27.741666666666664,1035.1,69.48833333333333
andhra pradesh,1997,28.239166666666666,1061.76,67.78166666666667
andhra pradesh,1998,28.304166666666664,874.96,69.75666666666667
andhra pradesh,1999,28.271666666666665,489.34,64.115
andhra pradesh,2000,27.813333333333333,968.01,69.265
andhra pradesh,2001,28.26,822.89,66.48666666666666
andhra pradesh,2002,28.361666666666665,735.8900000000001,66.395
andhra pradesh,2003,28.42833333333333,751.63,66.89
andhra pradesh,2004,27.83,683.07,68.0125
andhra pradesh,2005,27.891666666666666,1058.68,70.065
andhra pradesh,2006,27.756666666666664,1095.2,69.35833333333333
andhra pradesh,2007,27.429166666666664,993.31,71.05
andhra pradesh,2008,27.938333333333333,957.36,68.18166666666666
andhra pradesh,2009,28.409166666666664,799.56,66.82083333333334
andhra pradesh,2010,27.9275,1253.24,72.31583333333333
andhra pradesh,2011,28.33,561.73,65.26916666666666
andhra pradesh,2012,28.27333333333333,885.7,66.21
andhra pradesh,2013,27.691666666666666,1052.23,69.63250000000001
andhra pradesh,2014,28.268333333333334,710.77,65.44583333333334
andhra pradesh,2015,28.352500000000003,671.24,65.745
andhra pradesh,2016,28.305833333333336,741.02,65.38250000000001
andhra pradesh,2017,28.301666666666666,845.83,67.44916666666667
assam,1981,23.623333333333335,1476.19,75.4975
assam,1982,23.7625,1289.55,72.0725
assam,1983,23.951666666666668,1143.81,66.87833333333333
assam,1984,24.022499999999997,1066.5,65.7925
assam,1985,24.363333333333333,1095.2,65.80083333333333
assam,1986,24.484166666666667,965.27,63.97333333333333
assam,1987,24.3025,1271.79,69.86166666666666
assam,1988,24.18166666666667,1535.62,72.18416666666667
assam,1989,23.786666666666665,1189.96,68.43416666666667
assam,1990,23.8325,1569.37,73.02166666666666
assam,1991,24.21666666666667,1186.04,67.89083333333333
assam,1992,23.809166666666666,1037.16,67.19916666666667
assam,1993,23.671666666666667,1498.89,71.075
assam,1994,24.295833333333334,1237.26,67.16666666666667
assam,1995,24.383333333333336,1386.01,67.83833333333332
assam,1996,24.44333333333333,1086.09,67.425
assam,1997,23.689999999999998,1272.46,67.915
assam,1998,24.14,1334.12,70.24666666666667
assam,1999,24.69333333333333,1156.8700000000001,66.80583333333333
assam,2000,23.7375,1346.16,71.09333333333333
assam,2001,24.36583333333333,1019.8800000000001,68.18416666666667
assam,2002,24.324166666666667,1257.62,69.45416666666667
assam,2003,24.015,1314.6399999999999,72.77166666666666
assam,2004,23.534166666666668,1553.63,75.005
assam,2005,24.101666666666663,1326.51,73.46916666666667
assam,2006,24.736666666666668,1051.68,68.31583333333333
assam,2007,23.653333333333332,1541.71,73.66250000000001
assam,2008,23.705833333333334,1346.6,75.02916666666667
assam,2009,24.316666666666666,1298.14,72.3025
assam,2010,23.874166666666667,1786.02,76.99666666666667
assam,2011,23.535,1417.63,76.19583333333334
assam,2012,23.950833333333335,1553.63,75.09083333333334
assam,2013,24.331666666666667,1475.3799999999999,75.84333333333333
assam,2014,24.837500000000002,1298.8600000000001,73.06416666666667
assam,2015,24.59,1678.7900000000002,76.31333333333333
assam,2016,24.92,1458.45,76.915
assam,2017,24.52916666666667,1770.44,78.34166666666667
bihar,1981,25.126666666666665,1220.8,62.12583333333333
bihar,1982,26.035,883.25,54.357499999999995
bihar,1983,26.6675,608.37,45.49
bihar,1984,25.333333333333332,1278.22,55.6025
bihar,1985,25.844166666666666,1211.5,56.1625
bihar,1986,25.764166666666668,843.6500000000001,54.30166666666667
bihar,1987,26.16416666666667,1280.01,55.012499999999996
bihar,1988,25.834999999999997,1129.38,56.87583333333333
bihar,1989,26.099999999999998,736.9399999999999,47.90083333333334
bihar,1990,26.05,1121.49,55.159166666666664
bihar,1991,26.736666666666665,713.1999999999999,48.65833333333333
bihar,1992,26.709999999999997,704.78,45.845
bihar,1993,26.2375,1002.4399999999999,51.28
bihar,1994,25.834166666666665,1065.17,54.27666666666667
bihar,1995,25.983333333333334,1057.81,54.62833333333333
bihar,1996,25.89833333333333,934.4,53.98166666666666
bihar,1997,25.561666666666667,1314.83,56.0025
bihar,1998,25.653333333333332,1020.47,61.8675
bihar,1999,25.906666666666666,951.29,55.012499999999996
bihar,2000,25.833333333333332,960.09,53.315
bihar,2001,25.751666666666665,1060.02,56.32333333333333
bihar,2002,25.973333333333333,945.5,56.45249999999999
bihar,2003,25.734166666666667,1081.57,59.10999999999999
bihar,2004,25.861666666666665,897.52,57.57916666666667
bihar,2005,26.602500000000003,795.41,53.432500000000005
bihar,2006,26.11916666666667,1127.58,57.62
bihar,2007,25.34166666666667,1265.8,62.55666666666667
bihar,2008,25.008333333333336,1341.78,65.8725
bihar,2009,26.290833333333335,827.13,54.56666666666666
bihar,2010,26.964166666666667,753.92,52.560833333333335
bihar,2011,25.584999999999997,1107.87,60.05666666666667
bihar,2012,25.314999999999998,1020.8100000000001,57.935
