state,crop,year,yield,rainfall,temperature,humidity,n_req_kg_per_ha,p_req_kg_per_ha,k_req_kg_per_ha,n,p,k,ph,temperature_nasa,rainfall_nasa,humidity_nasa,nutrient_stress,nutrient_stress_norm,temp_anomaly_norm,rain_anomaly_norm,heat_stress,drought_stress,temp_volatility_norm,rain_volatility_norm,climate_stress,climate_stress_norm,disease_risk_score,disease_risk_norm,mean_yield,yield_anomaly,yield_volatility,yield_volatility_norm,stability_score,agro_stress_index,stress_interaction,resilience_score,intervention_priority,fragile_system
andhra pradesh,chickpea,1981,531.1844444444445,600.0,20.0,60.0,9.56132,5.311844444444445,9.56132,78.0,45.0,22.0,6.8,27.727500000000003,972.99,68.59916666666668,120.56551555555556,0.4383174801324219,-0.46539665010122955,0.30607141088496015,0,0,0.0,0.0,0.7714680609861897,0.13516851554475892,1,1.0,1085.454829053079,-554.2703846086346,409.2657700916693,0.30228180362827844,0.6977181963717216,0.42939439827087234,0.05924672312681883,0.39812191127804786,High Priority,0
andhra pradesh,chickpea,1982,758.1855555555555,600.0,20.0,60.0,13.64734,7.581855555555555,13.64734,78.0,45.0,22.0,6.8,27.97083333333333,816.74,67.57333333333334,110.12346444444445,0.4003552692187451,-0.1339652739431886,-0.08082008616847419,0,0,0.0,0.0,0.2147853601116628,0.03763243062833635,1,1.0,1085.454829053079,-327.2692734975235,409.2657700916693,0.30228180362827844,0.6977181963717216,0.3751950799388326,0.015066341895563348,0.43593776190925543,Moderate Priority,0
andhra pradesh,chickpea,1983,694.395,600.0,20.0,60.0,12.49911,6.94395,12.49911,78.0,45.0,22.0,6.8,28.19333333333333,820.74,67.2925,113.05783,0.4110231928797675,0.16909012822872463,-0.07091566384390627,0,0,0.22809945861827807,0.19557213010584826,0.6636773807967572,0.11628256683530709,1,1.0,1085.454829053079,-391.05982905307906,409.2657700916693,0.30228180362827844,0.6977181963717216,0.41092230388602985,0.04779483189690288,0.4110102276554483,Moderate Priority,0
andhra pradesh,chickpea,1984,494.65125,600.0,20.0,60.0,8.9037225,4.9465125,8.9037225,78.0,45.0,22.0,6.8,28.4725,537.16,63.56333333333333,122.2460425,0.4444270574206648,0.5493281796429252,-0.7730896845441491,1,1,0.31091609482167504,0.39890266122873697,4.032236620237486,0.7064860696708398,1,1.0,1085.454829053079,-590.803579053079,409.2657700916693,0.30228180362827844,0.6977181963717216,0.6603652508366018,0.3139815250525021,0.23696934461144828,High Priority,1
andhra pradesh,chickpea,1985,499.345,600.0,20.0,60.0,8.98821,4.99345,8.98821,78.0,45.0,22.0,6.8,28.000833333333333,669.94,65.21833333333333,122.03013,0.4436421047541166,-0.09310387140315383,-0.4443123854801167,0,0,0.27214234836884016,0.36404936103416297,1.1736079662862737,0.2056272380630141,1,1.0,1085.454829053079,-586.109829053079,409.2657700916693,0.30228180362827844,0.6977181963717216,0.4597077371268523,0.09122490068905137,0.3769717431654487,High Priority,0
andhra pradesh,chickpea,1986,542.308,600.0,20.0,60.0,9.761544,5.423080000000001,9.761544,78.0,45.0,22.0,6.8,28.394166666666667,549.7,64.37666666666667,120.053832,0.4364572479950412,0.44263451745506094,-0.7420393205566284,1,1,0.221079602521672,0.3025917795179996,3.708345220051361,0.6497372268154312,1,1.0,1085.454829053079,-543.146829053079,409.2657700916693,0.30228180362827844,0.6977181963717216,0.634477789924189,0.28358252193579303,0.25503149714790035,High Priority,1
andhra pradesh,chickpea,1987,507.1425,600.0,20.0,60.0,9.128565,5.071425,9.128565,78.0,45.0,22.0,6.8,28.185,942.88,66.24916666666667,121.67144500000002,0.44233810083030106,0.1577397386342716,0.2315158718367751,0,0,0.18302623217792788,0.38577083460979567,0.9580526772587703,0.16785990859194908,1,1.0,1085.454829053079,-578.3123290530791,409.2657700916693,0.30228180362827844,0.6977181963717216,0.4440792037689001,0.07425083317211069,0.3878760552718944,High Priority,0
andhra pradesh,chickpea,1988,533.1985714285714,600.0,20.0,60.0,9.597574285714286,5.3319857142857146,9.597574285714286,78.0,45.0,22.0,6.8,28.246666666666663,729.52,66.8525,120.4728657142857,0.4379806504446546,0.24173262163322495,-0.29678601495567775,0,0,0.18060135959302598,0.36220743205013844,1.0813274282320673,0.18945881324642017,1,1.0,1085.454829053079,-552.2562576245076,409.2657700916693,0.30228180362827844,0.6977181963717216,0.45097578547642997,0.08297929425813945,0.3830641847217864,High Priority,0
andhra pradesh,chickpea,1989,693.225,600.0,20.0,60.0,12.47805,6.93225,12.47805,78.0,45.0,22.0,6.8,28.10166666666667,773.1400000000001,64.75083333333333,113.11165000000001,0.41121885618093645,0.04423584268974133,-0.18877828950626427,0,0,0.14554831006792257,0.3167312101953024,0.6952936524592306,0.12182203726032169,1,1.0,1085.454829053079,-392.229829053079,409.2657700916693,0.30228180362827844,0.6977181963717216,0.4132163573765033,0.050095518819820904,0.40940962479169496,Moderate Priority,0
andhra pradesh,chickpea,1990,1039.9066666666668,600.0,20.0,60.0,18.71832,10.399066666666666,18.71832,78.0,45.0,22.0,6.8,28.0725,877.89,68.06083333333333,97.16429333333332,0.3532420362196318,0.004509479109150902,0.07059377011835782,0,0,0.12578153064327238,0.332241453088208,0.5331262329589892,0.09340876849122845,1,1.0,1085.454829053079,-45.54816238641229,409.2657700916693,0.30228180362827844,0.6977181963717216,0.3786603218843441,0.032995903582609724,0.4335199995490415,Moderate Priority,0
